Code,Laterality,Contrast,XR#Views,description,modality,bodyRegion
RM00001,N/A,WWOC,1,CT ABDOMEN ANGIO W AND WO IV CONTRAST,CT,ABDOMEN
RM00002,N/A,WOC,1,CT ABDOMEN WO IV CONTRAST,CT,ABDOMEN
RM00003,N/A,WWOC,1,CT ABDOMEN W AND WO IV CONTRAST,CT,ABDOMEN
RM00004,N/A,WC,1,CT ABDOMEN W IV CONTRAST,CT,ABDOMEN
RM00005,N/A,WWOC,1,CT CHEST ANGIO W AND WO IV CONTRAST,CT,CHEST
RM00006,N/A,WWOC,1,CT HEAD ANGIO W AND WO IV CONTRAST,CT,HEAD
RM00007,N/A,WWOC,1,CT LOWER EXTREMITY ANGIO W AND WO IV CONTRAST,CT,LOWER EXTREMITY
RM00008,N/A,WWOC,1,CT NECK ANGIO W AND WO IV CONTRAST,CT,NECK
RM00009,N/A,WWOC,1,CT PELVIS ANGIO W AND WO IV CONTRAST,CT,PELVIS
RM00010,N/A,WOC,1,CT CHEST WO IV CONTRAST,CT,CHEST
RM00011,N/A,WWOC,1,CT CHEST W AND WO IV CONTRAST,CT,CHEST
RM00012,N/A,WC,1,CT CHEST W IV CONTRAST,CT,CHEST
RM00013,N/A,WWOC,1,CT CERVICAL SPINE W AND WO IV CONTRAST,CT,CERVICAL SPINE
RM00014,N/A,WC,1,CT CERVICAL SPINE W IV CONTRAST,CT,CERVICAL SPINE
RM00015,N/A,WOC,1,CT CERVICAL SPINE WO IV CONTRAST,CT,CERVICAL SPINE
RM00016,N/A,WOC,1,CT HEAD WO IV CONTRAST,CT,HEAD
RM00017,N/A,WWOC,1,CT HEAD W AND WO IV CONTRAST,CT,HEAD
RM00018,N/A,WC,1,CT HEAD W IV CONTRAST,CT,HEAD
RM00019,N/A,WOC,1,CT LUMBAR SPINE WO IV CONTRAST,CT,LUMBAR SPINE
RM00020,N/A,WWOC,1,CT LUMBAR SPINE W AND WO IV CONTRAST,CT,LUMBAR SPINE
RM00021,N/A,WC,1,CT LUMBAR SPINE W IV CONTRAST,CT,LUMBAR SPINE
RM00022,N/A,WOC,1,CT MAXILLOFACIAL WO IV CONTRAST,CT,FACE
RM00023,N/A,WWOC,1,CT MAXILLOFACIAL W AND WO IV CONTRAST,CT,FACE
RM00024,N/A,WC,1,CT MAXILLOFACIAL W IV CONTRAST,CT,FACE
RM00025,N/A,WOC,1,CT NECK WO IV CONTRAST,CT,NECK
RM00026,N/A,WWOC,1,CT NECK W AND WO IV CONTRAST,CT,NECK
RM00027,N/A,WC,1,CT NECK W IV CONTRAST,CT,NECK
RM00028,N/A,WOC,1,CT ORBITS WO IV CONTRAST,CT,FACE
RM00029,N/A,WOC,1,CT TEMPORAL BONE WO IV CONTRAST,CT,HEAD
RM00030,N/A,WWOC,1,CT ORBITS W AND WO IV CONTRAST,CT,FACE
RM00031,N/A,WWOC,1,CT TEMPORAL BONE W AND WO IV CONTRAST,CT,HEAD
RM00032,N/A,WC,1,CT ORBITS W IV CONTRAST,CT,FACE
RM00033,N/A,WC,1,CT TEMPORAL BONE W IV CONTRAST,CT,HEAD
RM00034,N/A,WOC,1,CT PELVIS WO IV CONTRAST,CT,PELVIS
RM00035,N/A,WWOC,1,CT PELVIS W AND WO IV CONTRAST,CT,PELVIS
RM00036,N/A,WC,1,CT PELVIS W IV CONTRAST,CT,PELVIS
RM00037,N/A,N/A,1,CT POST PROCESSING,CT,UNCLASSIFIED
RM00038,N/A,WOC,1,CT THORACIC SPINE WO IV CONTRAST,CT,THORACIC SPINE
RM00039,N/A,WWOC,1,CT THORACIC SPINE W AND WO IV CONTRAST,CT,THORACIC SPINE
RM00040,N/A,WC,1,CT THORACIC SPINE W IV CONTRAST,CT,THORACIC SPINE
RM00041,N/A,WOC,1,CT SINUSES WO IV CONTRAST,CT,FACE
RM00042,N/A,WC,1,CT SINUSES W IV CONTRAST,CT,FACE
RM00043,N/A,WOC,1,CT PELVIS CYSTOGRAM WO IV CONTRAST,CT,PELVIS
RM00044,N/A,WOC,1,CT SPINE WO IV CONTRAST DENSITY,CT,LUMBAR SPINE
RM00045,N/A,N/A,1,CT TEETH,CT,FACE
RM00046,N/A,WWOC,1,CT SELLA TURCICA W AND WO IV CONTRAST,CT,HEAD
RM00047,N/A,N/A,1,CT COLONOGRAPHY SCREENING,CT,ABDOMEN
RM00048,N/A,WOC,1,CT COLONOGRAPHY WO IV CONTRAST DIAGNOSTIC,CT,ABDOMEN
RM00049,N/A,N/A,1,CT GUIDANCE FOR NEEDLE PLACEMENT,CT,UNCLASSIFIED
RM00050,N/A,WC,1,CT COLONOGRAPHY W IV CONTRAST DIAGNOSTIC,CT,ABDOMEN
RM00051,N/A,N/A,1,CT LIMITED FOLLOW UP,CT,UNCLASSIFIED
RM00052,N/A,WC,1,CT HEAD W IV CONTRAST PERFUSION,CT,HEAD
RM00053,N/A,WWOC,1,CT SINUSES W AND WO IV CONTRAST,CT,FACE
RM00054,N/A,WC,1,CT SELLA TURCICA W IV CONTRAST,CT,HEAD
RM00055,N/A,WOC,1,CT SELLA TURCICA WO IV CONTRAST,CT,HEAD
RM00056,N/A,WWOC,1,CT UPPER EXTREMITY W AND WO IV CONTRAST,CT,UPPER EXTREMITY
RM00057,N/A,WC,1,CT UPPER EXTREMITY W IV CONTRAST,CT,UPPER EXTREMITY
RM00058,N/A,WOC,1,CT UPPER EXTREMITY WO IV CONTRAST,CT,UPPER EXTREMITY
RM00059,N/A,WC,1,CT CERVICAL SPINE W IV CONTRAST BY RECONSTRUCTION NEURO,CT,CERVICAL SPINE
RM00060,N/A,WOC,1,CT CERVICAL SPINE WO IV CONTRAST BY RECONSTRUCTION NEURO,CT,CERVICAL SPINE
RM00061,N/A,WWOC,1,CT ABDOMEN CHOLANGIOGRAM W AND WO IV CONTRAST,CT,ABDOMEN
RM00062,N/A,WC,1,CT LUMBAR SPINE W IV CONTRAST BY RECONSTRUCTION,CT,LUMBAR SPINE
RM00063,N/A,WOC,1,CT LUMBAR SPINE WO IV CONTRAST BY RECONSTRUCTION,CT,LUMBAR SPINE
RM00064,N/A,WOC,1,CT ABDOMEN/PELVIS WO IV CONTRAST,CT,ABDOMEN/PELVIS
RM00065,N/A,WC,1,CT ABDOMEN/PELVIS W IV CONTRAST,CT,ABDOMEN/PELVIS
RM00066,N/A,WOC,1,CT CHEST AIRWAY WO IV CONTRAST,CT,CHEST
RM00067,N/A,WC,1,CT CHEST W IV CONTRAST PULMONARY EMBOLUS,CT,CHEST
